symbol,alert_date,strategy,entry_price,quantity,trade_entry_date,match_type
TGEN,2025-05-16,BreakFutPennies-holdingsactual-burst,4.28,300.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
TGEN,2025-05-16,BreakFutPennies-holdingsactual-StackSupport,4.28,300.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-holdings-BigVolumeUp-Daily,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-holdings-BigVolumeUp-Daily,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASPI,2025-05-16,BreakFutPennies-holdingsactual-burst,6.82,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASPI,2025-05-16,BreakFutPennies-holdingsactual-burst,6.82,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
CURI,2025-05-19,BreakFutPennies-holdingsactual-curl,6.26,225.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
CURI,2025-05-19,BreakFutPennies-holdingsactual-curl,6.25,25.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
NVAX,2025-05-19,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,7.3,300.0,2025-05-22T00:00:00,TRADE_3D_AFTER_ALERT
AISP,2025-05-19,BreakFutPennies-holdings-BigVolumeUp-Daily,5.35,100.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
AISP,2025-05-19,BreakFutPennies-holdings-BigVolumeUp-Daily,5.35,150.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
CURI,2025-05-19,BreakFutPennies-hold-4barWedgePopSetup,6.26,225.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
CURI,2025-05-19,BreakFutPennies-hold-4barWedgePopSetup,6.25,25.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
TGEN,2025-05-19,BreakFutPennies-holdings-BigVolumeUp-Daily,4.28,300.0,2025-05-16T00:00:00,TRADE_3D_BEFORE_ALERT
GRAB,2025-05-19,BreakFutPennies-hold-4barWedgePopSetup,5.24,500.0,2025-05-14T00:00:00,TRADE_5D_BEFORE_ALERT
NVAX,2025-05-19,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,7.3,300.0,2025-05-22T00:00:00,TRADE_3D_AFTER_ALERT
AISP,2025-05-19,BreakFutPennies-Qull-pctBx130,5.35,100.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
AISP,2025-05-19,BreakFutPennies-Qull-pctBx130,5.35,150.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
FCEL,2025-05-19,BreakFutPennies-holdingsactual-DI2CrossPctBVol>100,4.86,250.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
MNMD,2025-05-19,BreakFutPennies-holdingsactual-DI2CrossPctBVol>100,7.0,100.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
MNMD,2025-05-19,BreakFutPennies-holdingsactual-DI2CrossPctBVol>100,7.0,100.0,2025-05-19T00:00:00,SAME_DAY_ENTRY
